listing_id,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,minimum_nights,host_listings_count,instant_bookable,cancellation_policy,is_business_travel_ready,price_per_person,host_is_superhost
48630060,,35.57899,-82.57778,Entire rental unit,Entire home/apt,,1,1,3,7,t,,,43,f
48630309,,35.59502,-82.59304,Bus,Entire home/apt,,1,2,3,7,t,,,26,f
48639122,,35.5846,-82.5713,Entire rental unit,Entire home/apt,,2,3,2,1,f,,,25.6,t
48639348,,35.5957,-82.50765,Entire guesthouse,Entire home/apt,,1,1,30,2,f,,,32.5,t
48652101,,35.46553,-82.57691,Entire residential home,Entire home/apt,,3,4,2,3,t,,,24,t
48654630,,35.59155,-82.55724,Entire apartment,Entire home/apt,,3,3,16,0,f,,,23.33333333,f
48657021,,35.59299,-82.54905,Entire condominium (condo),Entire home/apt,,2,3,1,110,t,,,49.16666667,t
48657374,,35.585995,-82.541862,Entire condominium (condo),Entire home/apt,,2,2,30,1,t,,,22.5,t
48661410,,35.59979,-82.48768,Entire cabin,Entire home/apt,,2,3,2,0,f,,,60,t
48661956,,35.57106,-82.57551,Entire house,Entire home/apt,,1,2,2,0,f,,,15,t
48671276,,35.62898,-82.61327,Entire residential home,Entire home/apt,,2,2,2,1,f,,,51,t
48671892,,35.59703,-82.54284,Entire rental unit,Entire home/apt,,1,1,1,0,t,,,55,f
48672074,,35.57334,-82.59141,Entire guest suite,Entire home/apt,,1,1,1,0,t,,,44.5,t
48672808,,35.62457,-82.5218,Entire residential home,Entire home/apt,,5,9,1,175,t,,,47.71428571,t
48672812,,35.56926,-82.56841,Entire residential home,Entire home/apt,,3,4,1,175,t,,,61,t
48672814,,35.62631,-82.51707,Entire residential home,Entire home/apt,,5,12,1,175,t,,,50.5625,t
48676861,,35.59293,-82.59234,Bus,Entire home/apt,,1,2,3,7,t,,,17.5,f
48680940,,35.60973,-82.63393,Entire residential home,Entire home/apt,,6,6,3,5,t,,,19.5625,t
48691734,,35.56565,-82.6338,Entire rental unit,Entire home/apt,,2,3,2,2,t,,,21.25,t
48694660,,35.63308,-82.62892,Tiny house,Entire home/apt,,1,1,3,9,t,,,23,t
48694733,,35.51711,-82.60602,Entire bungalow,Entire home/apt,,1,1,2,0,t,,,54.5,t
48695005,,35.63142,-82.62918,Tiny house,Entire home/apt,,1,2,3,9,t,,,30.5,t
48695620,,35.6324,-82.62987,Tiny house,Entire home/apt,,1,1,3,9,t,,,34,t
48697599,,35.5571,-82.47412,Entire residential home,Entire home/apt,,3,3,4,198,t,,,48.83333333,f
48699580,,35.58531,-82.57576,Entire guest suite,Entire home/apt,,,2,2,0,t,,,36.33333333,t
48700024,,35.65441,-82.57588,Entire residential home,Entire home/apt,,2,3,1,0,f,,,24.83333333,t
48707829,,35.59522,-82.59397,Entire residential home,Entire home/apt,,2,2,3,7,t,,,19.5,f
48713737,,35.60364,-82.56431,Entire house,Entire home/apt,,6,6,1,4,f,,,137.5,t
48714029,,35.61241,-82.47244,Entire residential home,Entire home/apt,,5,6,2,708,t,,,31.45454545,f
48731200,,35.57903,-82.53233,Entire residential home,Entire home/apt,,1,1,3,1,t,,,162.5,t
48732204,,35.63523,-82.53613,Tiny house,Entire home/apt,,1,1,1,0,f,,,40,f
48735115,,35.46511,-82.5047,Entire guest suite,Entire home/apt,,1,1,1,0,f,,,23.5,t
48746518,,35.56198,-82.61176,Entire guest suite,Entire home/apt,,1,1,1,7,t,,,37,f
48748360,,35.5475,-82.66401,Entire residential home,Entire home/apt,,2,2,2,2,t,,,44.25,t
48763023,,35.59269,-82.59238,Entire residential home,Entire home/apt,,2,3,3,5,t,,,17.8,t
48763520,,35.63402,-82.65903,Entire residential home,Entire home/apt,,4,5,1,5,t,,,18.3,t
48764233,,35.53918,-82.51607,Entire residential home,Entire home/apt,,1,1,2,0,t,,,40,t
48764538,,35.55486,-82.50365,Entire residential home,Entire home/apt,,4,4,3,5,t,,,12.125,t
48764967,,35.60074,-82.47098,Entire residential home,Entire home/apt,,5,8,3,5,t,,,6,t
48765717,,35.63248,-82.6302,Tent,Entire home/apt,,,1,1,9,t,,,26,t
48767584,,35.63135,-82.62873,Tent,Entire home/apt,,,,1,2,t,,,36.5,t
48769491,,35.61866,-82.643806,Entire residential home,Entire home/apt,,4,7,1,0,t,,,22.36363636,t
48778803,,35.62777,-82.59874,Entire residential home,Entire home/apt,,2,2,1,1,t,,,31,f
48783147,,35.63545,-82.53077,Entire guest suite,Entire home/apt,,1,1,2,0,f,,,37.5,t
48789773,,35.59271,-82.53631,Entire residential home,Entire home/apt,,1,1,3,3,f,,,74.5,t
48812059,,35.63644,-82.52077,Entire residential home,Entire home/apt,,4,4,2,2,t,,,25,t
48822496,,35.57175,-82.54934,Entire house,Entire home/apt,,4,4,28,3,f,,,45,f
48824124,,35.63886,-82.57385,Entire guest suite,Entire home/apt,,1,2,1,0,t,,,16.25,t
48841953,,35.58745,-82.60095,Entire residential home,Entire home/apt,,3,3,30,1,t,,,34,t
48844726,,35.59906,-82.54176,Entire residential home,Entire home/apt,,1,1,1,0,t,,,43,t
48856747,,35.5903,-82.55125,Entire condominium (condo),Entire home/apt,,1,2,2,198,t,,,42.5,f
48887124,,35.48758,-82.58302,Entire residential home,Entire home/apt,,4,7,2,22,t,,,41.90909091,t
48899534,,35.55297,-82.48933,Entire residential home,Entire home/apt,,3,4,1,175,t,,,52.33333333,t
48899537,,35.56201,-82.5429,Entire residential home,Entire home/apt,,2,2,1,165,t,,,43.75,t
48899543,,35.60271,-82.56595,Entire residential home,Entire home/apt,,2,2,1,175,t,,,23.4,t
